"ProtocolID","DeviceName","TagName","DataType","DataCount","Retentive","Address","ArrayStart","ArrayEnd"
2511,"DEV001","Mole1_seed_reset.Zero","Discrete",1,0,"DISC_RT6.Zero",0,0
2511,"DEV001","Mole1_seed_reset.Timing","Discrete",1,0,"DISC_RT6.Timing",0,0
2511,"DEV001","Mole1_seed_reset.Reset","Discrete",1,0,"DISC_RT6.Reset",0,0
2511,"DEV001","Mole1_seed_reset.TT","Discrete",1,0,"DISC_RT6.TT",0,0
2511,"DEV001","Mole1_seed_reset.EN","Discrete",1,0,"DISC_RT6.EN",0,0
2511,"DEV001","Mole1_seed_reset.DN","Discrete",1,0,"DISC_RT6.DN",0,0
2511,"DEV001","MOLE_2_TIMER.ACC","Signed_int_32",1,0,"SI32_RT7.Acc",0,0
2511,"DEV001","Mole_2_timer.Done","Discrete",1,0,"DISC_RT7.Done",0,0
2511,"DEV001","Mole_2_timer.Zero","Discrete",1,0,"DISC_RT7.Zero",0,0
2511,"DEV001","Mole_2_timer.Timing","Discrete",1,0,"DISC_RT7.Timing",0,0
2511,"DEV001","Mole_2_timer.Reset","Discrete",1,0,"DISC_RT7.Reset",0,0
2511,"DEV001","Mole_2_timer.TT","Discrete",1,0,"DISC_RT7.TT",0,0
2511,"DEV001","Mole_2_timer.EN","Discrete",1,0,"DISC_RT7.EN",0,0
2511,"DEV001","Mole_2_timer.DN","Discrete",1,0,"DISC_RT7.DN",0,0
2511,"DEV001","MOLE2_SEED_RESET.ACC","Signed_int_32",1,0,"SI32_RT8.Acc",0,0
2511,"DEV001","Mole2_seed_reset.Done","Discrete",1,0,"DISC_RT8.Done",0,0
2511,"DEV001","Mole2_seed_reset.Zero","Discrete",1,0,"DISC_RT8.Zero",0,0
2511,"DEV001","Mole2_seed_reset.Timing","Discrete",1,0,"DISC_RT8.Timing",0,0
2511,"DEV001","Mole2_seed_reset.Reset","Discrete",1,0,"DISC_RT8.Reset",0,0
2511,"DEV001","Mole2_seed_reset.TT","Discrete",1,0,"DISC_RT8.TT",0,0
2511,"DEV001","Mole2_seed_reset.EN","Discrete",1,0,"DISC_RT8.EN",0,0
